"Energy Meters" 
"energyMeter", "I1 Target", "I2 Target", "I3 Target", "I1 Calc", "I2 Calc", "I3 Calc", "I1 %Err", "I2 %Err", "I3 %Err"

"Sensors" 
"Sensor", "I1 Target", "I2 Target", "I3 Target", "I1 Calc", "I2 Calc", "I3 Calc", "I1 %Err", "I2 %Err", "I3 %Err", "V1 Target", "V2 Target", "V3 Target", "V1 Calc", "V2 Calc", "V3 Calc", "V1 %Err", "V2 %Err", "V3 %Err", "WLS Voltage Err", "WLS Current Err"
"Sensor.671", 0, 0, 0, 188.168, 176.843, 191.75, -1.88167E007, -1.76842E007, -1.91749E007, 0, 0, 0, 0.0157441, 0.0157441, 0.0157441, -1474.41, -1474.41, -1474.41, 0, 0
"Sensor.634A", 0, 0, 0, 710.382, 0, 0, -7.10381E007, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.634B", 0, 0, 0, 535.719, 0, 0, -5.35718E007, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.634C", 0, 0, 0, 551.53, 0, 0, -5.51529E007, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.645", 0, 0, 0, 85.9956, 0, 0, -8.59946E006, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.646", 0, 0, 0, 64.4075, 0, 0, -6.44065E006, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.692", 0, 0, 0, 54.6583, 0, 0, -5.46573E006, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.675A", 0, 0, 0, 222.552, 0, 0, -2.22551E007, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.675B", 0, 0, 0, 36.0844, 0, 0, -3.60834E006, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.675C", 0, 0, 0, 155.667, 0, 0, -1.55666E007, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.611", 0, 0, 0, 78.2846, 0, 0, -7.82836E006, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.652", 0, 0, 0, 62.6105, 0, 0, -6.26095E006, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.670A", 0, 0, 0, 8.18813, 0, 0, -818713, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.670B", 0, 0, 0, 30.6551, 0, 0, -3.06541E006, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
"Sensor.670C", 0, 0, 0, 57.0069, 0, 0, -5.70059E006, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0
