
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus       Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

150          1.561     0.6499     0.8415      53.91    0.8424     53.96
149          1.717      6.196     0.9257      53.91    0.9266     53.96
1            1.705      6.153     0.9212      54.03    0.9121     53.49
2            2.556      1.064          0          0         0         0
3            2.681      1.116          0          0         0         0
7            1.697      6.123     0.9179       54.1    0.9031     53.22
4             2.68      1.116          0          0         0         0
5            2.678      1.115          0          0         0         0
6            2.676      1.114          0          0         0         0
8            1.691      6.103     0.9158      54.15    0.8972     53.04
12           2.524      1.051          0          0         0         0
9           0.1199     0.4326          0          0         0         0
13           1.683      6.074     0.9127      54.22    0.8884     52.78
9r          0.1319     0.4759          0          0         0         0
14          0.1317     0.4751          0          0         0         0
34           2.657      1.106          0          0         0         0
18           1.674      6.042     0.9066      54.14    0.8738     52.19
11          0.1316     0.4748          0          0         0         0
10          0.1316     0.4749          0          0         0         0
15           2.656      1.106          0          0         0         0
16           2.654      1.105          0          0         0         0
17           2.655      1.106          0          0         0         0
19          0.1033     0.3729          0          0         0         0
21           1.674      6.039     0.9062      54.15    0.8718     52.09
20          0.1033     0.3726          0          0         0         0
22           2.477      1.031          0          0         0         0
23           1.673      6.038     0.9062      54.16      0.87     51.99
24           2.638      1.098          0          0         0         0
25           1.673      6.037     0.9061      54.16    0.8687     51.92
25r         0.1094     0.3947          0          0         0         0
26          0.1088     0.3928          0          0         0         0
28           1.673      6.037     0.9061      54.16    0.8682      51.9
27          0.1088     0.3926          0          0         0         0
31           2.406      1.002          0          0         0         0
33          0.1087     0.3921          0          0         0         0
29           1.673      6.036     0.9061      54.17    0.8675     51.86
30           1.673      6.035     0.9061      54.17    0.8666     51.81
250          1.673      6.035     0.9061      54.17    0.8666     51.81
32           2.405      1.001          0          0         0         0
35           1.671       6.03     0.9049      54.15    0.8699     52.05
36          0.1011     0.3648          0          0         0         0
40           1.669      6.023     0.9039      54.16    0.8672     51.96
37           0.101     0.3645          0          0         0         0
38           2.468      1.028          0          0         0         0
39           2.467      1.027          0          0         0         0
41            2.64      1.099          0          0         0         0
42           1.667      6.016     0.9029      54.16    0.8649     51.88
43           2.458      1.023          0          0         0         0
44           1.666       6.01     0.9023      54.17    0.8629     51.81
45         0.09707     0.3503          0          0         0         0
47           1.664      6.004     0.9015      54.18    0.8605     51.72
46         0.09703     0.3501          0          0         0         0
48           1.663      6.002     0.9013      54.19    0.8598     51.69
